,Pclass,Age,SibSp,Parch,Fare,Cabin,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
891,3.0,0.430038832519,0.0,0.0,0.0152815806712,False,0.0,1.0,0.0,1.0,0.0
892,3.0,0.586621570838,1.0,0.0,0.0136630900601,False,1.0,0.0,0.0,0.0,1.0
893,2.0,0.774520856821,0.0,0.0,0.0189087407081,False,0.0,1.0,0.0,1.0,0.0
894,3.0,0.336089189528,0.0,0.0,0.0169080739493,False,0.0,1.0,0.0,0.0,1.0
895,3.0,0.2734560942,1.0,1.0,0.0239836027304,False,1.0,0.0,0.0,0.0,1.0
896,3.0,0.173243141676,0.0,0.0,0.0180060008292,False,0.0,1.0,0.0,0.0,1.0
897,3.0,0.373669046724,0.0,0.0,0.0148912066695,False,1.0,0.0,0.0,1.0,0.0
898,2.0,0.323562570462,1.0,1.0,0.0566042302488,False,0.0,1.0,0.0,0.0,1.0
899,3.0,0.223349617938,0.0,0.0,0.014110458666,False,1.0,0.0,1.0,0.0,0.0
900,3.0,0.260929475135,2.0,0.0,0.0471376607072,False,0.0,1.0,0.0,0.0,1.0
901,3.0,0.372180103561,0.0,0.0,0.0154115752137,False,0.0,1.0,0.0,0.0,1.0
902,1.0,0.574094951773,0.0,0.0,0.0507486202231,False,0.0,1.0,0.0,0.0,1.0
903,1.0,0.285982713266,1.0,0.0,0.160573904435,True,1.0,0.0,0.0,0.0,1.0
904,2.0,0.787047475886,1.0,0.0,0.0507486202231,False,0.0,1.0,0.0,0.0,1.0
905,1.0,0.586621570838,1.0,0.0,0.119405647775,True,1.0,0.0,0.0,0.0,1.0
906,2.0,0.298509332331,1.0,0.0,0.0541073981339,False,1.0,0.0,1.0,0.0,0.0
907,2.0,0.436302142052,0.0,0.0,0.024105594606,False,0.0,1.0,0.0,1.0,0.0
908,3.0,0.260929475135,0.0,0.0,0.014102260812,False,0.0,1.0,1.0,0.0,0.0
909,3.0,0.336089189528,1.0,0.0,0.015468569818,False,1.0,0.0,0.0,0.0,1.0
910,3.0,0.561568332707,0.0,0.0,0.014102260812,False,1.0,0.0,1.0,0.0,0.0
911,1.0,0.686834523362,1.0,0.0,0.11594107851,False,0.0,1.0,1.0,0.0,0.0
912,3.0,0.110610046348,0.0,1.0,0.00618898942321,False,0.0,1.0,0.0,0.0,1.0
913,1.0,0.372180103561,0.0,0.0,0.0618416830429,False,1.0,0.0,0.0,0.0,1.0
914,1.0,0.260929475135,0.0,1.0,0.119804219631,False,0.0,1.0,1.0,0.0,0.0
915,1.0,0.599148189904,1.0,3.0,0.512121893501,True,1.0,0.0,1.0,0.0,0.0
916,3.0,0.624201428035,1.0,0.0,0.0283021151244,False,0.0,1.0,0.0,0.0,1.0
917,1.0,0.2734560942,0.0,1.0,0.120975341636,True,1.0,0.0,1.0,0.0,0.0
918,3.0,0.279719403733,0.0,0.0,0.014102260812,False,0.0,1.0,1.0,0.0,0.0
919,1.0,0.511461856445,0.0,0.0,0.0595320352617,True,0.0,1.0,0.0,0.0,1.0
920,3.0,0.372180103561,2.0,0.0,0.04231498029,False,0.0,1.0,1.0,0.0,0.0
921,2.0,0.624201428035,1.0,0.0,0.0507486202231,False,0.0,1.0,0.0,0.0,1.0
922,2.0,0.298509332331,2.0,0.0,0.0614839052703,False,0.0,1.0,0.0,0.0,1.0
923,3.0,0.411248903921,1.0,2.0,0.0401597254265,False,1.0,0.0,0.0,0.0,1.0
924,3.0,0.372180103561,1.0,2.0,0.0457713517012,False,1.0,0.0,0.0,0.0,1.0
925,1.0,0.373669046724,1.0,0.0,0.112720492996,True,0.0,1.0,1.0,0.0,0.0
926,3.0,0.229612927471,0.0,0.0,0.014110458666,False,0.0,1.0,1.0,0.0,0.0
